Feature,Importance
Neighborhood_MeadowV,1.3556239934777762e-06
Electrical_FuseP,1.037737662329666e-06
Exterior 2nd_CBlock,1.0334483153158691e-06
Garage Qual_Po,9.569835824086801e-07
Exterior 2nd_Stone,8.583018776597951e-07
Sale Condition_AdjLand,7.228445857027952e-07
Exterior 1st_AsphShn,6.539723072683264e-07
Utilities_NoSewr,6.358989639417382e-07
Exterior 1st_ImStucc,5.446505169542188e-07
Condition 2_RRAn,4.842800677131583e-07
Neighborhood_Landmrk,3.561634366920318e-07
Functional_Sal,2.329696898352085e-07
Condition 2_RRAe,2.0891391502727557e-07
Sale Type_VWD,1.601669814606306e-07
Pool QC_Fa,1.4348519438086874e-07
Roof Matl_Roll,1.3451270076575858e-07
Bsmt Qual_Po,1.0121834121601126e-07
Misc Feature_Gar2,7.77273639193803e-08
Electrical_Mix,2.133057642063571e-08
Condition 2_RRNn,1.801835392633156e-08
MS Zoning_I (all),8.035422189065342e-09
Utilities_NoSeWa,2.981827058707085e-09
Heating QC_Po,2.337840474532065e-11
Kitchen Qual_Po,0.0
Exterior 2nd_Other,0.0
Misc Feature_TenC,0.0
